k,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos
155,Xander Bogaerts,31,SDP,NL,1.2,111,463,428,50,113,15,1,11,44,13,3,28,79,0.264,0.307,0.381,0.688,92,0.307,90,163,13,1,0,6,0,SS
156,Jeimer Candelario#,30,CIN,NL,-0.7,112,463,427,47,96,23,2,20,56,4,3,27,114,0.225,0.279,0.429,0.707,90,0.306,87,183,7,6,0,3,1,3B
157,Mark Canha,35,2TM,2LG,0.6,125,462,393,46,95,20,0,7,42,7,0,51,96,0.242,0.344,0.346,0.69,99,0.321,104,136,10,13,0,5,2,1B
158,Gio Urshela,32,2TM,2LG,0.7,128,461,432,34,108,19,1,9,52,0,0,23,72,0.25,0.286,0.361,0.647,82,0.29,82,156,13,1,0,5,1,3B
159,Max Schuemann,27,OAK,AL,0.8,133,459,396,55,87,14,0,7,34,14,1,47,119,0.22,0.311,0.308,0.619,82,0.292,86,122,8,7,5,4,0,UTIL
160,Giancarlo Stanton,34,NYY,AL,0.7,114,459,417,49,97,20,0,27,72,0,0,38,143,0.233,0.298,0.475,0.773,115,0.33,112,198,17,2,0,2,2,DH
161,Michael Toglia#,25,COL,NL,2.2,116,458,399,62,87,14,3,25,55,10,1,54,147,0.218,0.311,0.456,0.767,105,0.334,102,182,7,1,0,3,2,1B
162,Luke Raley*,29,SEA,AL,3.2,137,455,404,58,98,19,2,22,58,11,2,27,135,0.243,0.32,0.463,0.783,129,0.346,131,187,2,20,2,2,0,OF
163,Davis Schneider,25,TOR,AL,0,135,454,397,48,76,19,1,13,46,6,0,47,144,0.191,0.282,0.343,0.625,78,0.28,76,136,2,5,0,5,0,OF
164,Mark Vientos,24,NYM,NL,3.1,111,454,413,58,110,22,0,27,71,0,0,33,135,0.266,0.322,0.516,0.837,135,0.361,137,213,6,3,0,5,0,3B
165,Ernie Clement,28,TOR,AL,3.4,139,452,434,48,114,21,3,12,51,12,3,11,41,0.263,0.284,0.408,0.692,95,0.317,102,177,11,3,2,2,1,UTIL
166,Jo Adell,25,LAA,AL,0.9,130,451,405,54,84,15,2,20,62,15,10,35,126,0.207,0.28,0.402,0.682,91,0.297,90,163,9,7,0,3,1,OF
167,Lawrence Butler*,23,OAK,AL,3,125,451,412,63,108,24,2,22,57,18,0,35,108,0.262,0.317,0.49,0.807,131,0.357,130,202,8,0,0,4,0,OF
168,J.P. Crawford*,29,SEA,AL,2.7,105,451,392,55,79,16,2,9,37,5,0,52,102,0.202,0.304,0.321,0.625,86,0.286,89,126,4,6,0,1,0,SS
169,MJ Melendez*,25,KCR,AL,-0.9,135,451,412,44,85,23,3,17,44,4,4,35,113,0.206,0.273,0.4,0.674,87,0.29,83,165,3,3,0,0,1,OF
170,Jarred Kelenic*,24,ATL,NL,0.4,131,449,412,49,95,18,2,15,45,7,2,32,133,0.231,0.286,0.393,0.679,87,0.301,86,162,5,1,1,3,1,OF
171,Joc Pederson*,32,ARI,NL,2.9,132,449,367,62,101,17,1,23,64,7,4,55,105,0.275,0.393,0.515,0.908,151,0.388,151,189,5,18,1,3,2,DH
172,Patrick Bailey#,25,SFG,NL,1.8,121,448,401,46,94,16,1,8,46,4,0,39,100,0.234,0.298,0.339,0.637,84,0.286,84,136,10,0,1,7,0,C
173,Jose Siri,28,TBR,AL,1.8,130,448,402,50,75,16,1,18,47,14,7,31,170,0.187,0.255,0.366,0.62,76,0.272,73,147,5,7,2,4,0,OF
174,Wilyer Abreu*,25,BOS,AL,3.4,132,447,399,59,101,33,2,15,58,8,3,40,125,0.253,0.322,0.459,0.781,114,0.339,112,183,7,3,0,5,0,OF
175,Jordan Westburg,25,BAL,AL,2.4,107,447,416,57,110,26,5,18,63,6,3,22,97,0.264,0.312,0.481,0.792,129,0.34,127,200,5,7,1,1,0,3B
176,Jared Triolo,26,PIT,NL,1.3,125,446,394,41,85,10,1,9,46,8,1,42,118,0.216,0.296,0.315,0.611,71,0.286,74,124,5,5,0,5,0,UTIL
177,Nicky Lopez*,29,CHW,AL,0.2,124,445,398,40,96,12,3,1,21,5,7,37,67,0.241,0.312,0.294,0.606,76,0.282,83,117,3,4,6,0,0,2B
178,Andy Pages,23,LAD,NL,1.3,116,443,403,65,100,23,1,13,46,1,2,29,108,0.248,0.305,0.407,0.712,102,0.31,101,164,8,6,0,4,0,OF
179,Brayan Rocchio#,23,CLE,AL,1.9,143,442,383,50,79,18,0,8,36,10,6,44,90,0.206,0.298,0.316,0.614,76,0.281,78,121,11,8,2,5,1,SS
180,Dylan Moore,31,SEA,AL,2.2,135,441,368,53,74,23,4,10,42,32,6,53,123,0.201,0.32,0.367,0.687,104,0.322,109,135,8,14,1,5,1,UTIL
181,Fernando Tatis Jr.,25,SDP,NL,2.6,102,438,398,64,110,21,1,21,49,11,3,32,96,0.276,0.34,0.492,0.833,130,0.36,129,196,8,7,0,1,0,OF
182,Harrison Bader,30,NYM,NL,0.9,143,437,402,57,95,19,0,12,51,17,8,21,95,0.236,0.284,0.373,0.657,86,0.287,84,150,6,8,0,6,1,OF
183,Ozzie Albies#,27,ATL,NL,1.6,99,435,399,52,100,29,1,10,53,8,1,27,65,0.251,0.303,0.404,0.707,95,0.313,93,161,6,5,0,4,0,2B
184,Otto López,25,MIA,NL,2.6,117,434,403,49,109,23,1,6,39,20,4,25,75,0.27,0.313,0.377,0.69,87,0.32,91,152,13,1,2,2,0,2B
185,Blake Perkins#,27,MIL,NL,1.8,121,434,383,54,92,13,2,6,43,23,5,42,108,0.24,0.316,0.332,0.647,81,0.301,81,127,3,3,0,6,1,OF
186,Mitch Garver,33,SEA,AL,-0.1,114,430,367,37,63,17,0,15,51,0,0,53,133,0.172,0.286,0.341,0.627,85,0.282,88,125,9,7,0,3,0,DH
187,José Miranda,26,MIN,AL,1.7,121,429,401,44,114,28,4,9,49,2,2,18,66,0.284,0.322,0.441,0.763,112,0.333,112,177,13,6,0,4,1,3B
188,Mauricio Dubón,29,HOU,AL,1.1,137,428,402,45,108,25,0,4,47,3,2,16,55,0.269,0.296,0.361,0.657,88,0.289,85,145,6,2,3,5,0,UTIL
189,Kyle Isbel*,27,KCR,AL,1.8,136,426,384,62,88,13,8,8,42,11,2,27,88,0.229,0.287,0.367,0.654,83,0.296,82,141,4,5,8,2,0,OF
190,Brandon Lowe*,29,TBR,AL,2.4,107,425,385,56,94,19,3,21,58,5,1,33,112,0.244,0.311,0.473,0.783,121,0.339,120,182,7,5,0,2,2,2B
191,Wenceel Pérez#,24,DET,AL,0.7,112,425,389,51,94,16,6,9,37,9,5,32,92,0.242,0.3,0.383,0.683,93,0.302,93,149,5,1,2,1,0,OF
192,Luis Robert Jr.,26,CHW,AL,1.4,100,425,393,47,88,19,0,14,35,23,6,28,141,0.224,0.278,0.379,0.657,87,0.298,88,149,8,2,0,1,2,OF
193,Hunter Renfroe,32,KCR,AL,0,120,424,385,44,88,18,0,15,52,1,1,36,84,0.229,0.297,0.392,0.689,92,0.308,94,151,10,2,0,1,0,OF
194,Mitch Haniger,33,SEA,AL,-0.2,121,423,380,42,79,12,0,12,44,0,0,40,126,0.208,0.286,0.334,0.62,84,0.281,87,127,10,2,0,1,0,OF
195,Rowdy Tellez*,29,PIT,NL,-0.4,131,421,383,38,93,18,0,13,56,1,0,31,89,0.243,0.299,0.392,0.691,91,0.305,90,150,12,2,0,5,0,1B
196,Masataka Yoshida*,30,BOS,AL,1.4,108,421,378,45,106,21,0,10,56,2,0,27,52,0.28,0.349,0.415,0.765,112,0.341,114,157,6,14,0,2,0,DH
197,Mickey Moniak*,26,LAA,AL,-0.1,124,418,392,48,86,17,2,14,49,8,4,21,114,0.219,0.266,0.38,0.646,81,0.283,78,149,3,4,0,1,0,OF
198,Connor Joe,31,PIT,NL,0.6,123,416,364,49,83,22,1,9,36,2,2,44,91,0.228,0.32,0.368,0.688,92,0.306,92,134,7,6,0,2,1,1B
199,Austin Wells*,24,NYY,AL,2.5,115,414,354,42,81,18,1,13,55,1,2,47,87,0.229,0.322,0.395,0.718,103,0.318,104,140,9,5,1,7,0,C
200,J.T. Realmuto,33,PHI,NL,3,99,413,380,50,101,18,1,14,47,2,2,27,102,0.266,0.322,0.429,0.751,109,0.331,112,163,7,5,0,1,1,C
201,Pete Crow-Armstrong*,22,CHC,NL,2.3,123,410,372,46,88,13,6,10,47,27,3,21,98,0.237,0.286,0.384,0.67,88,0.3,82,143,4,6,8,3,2,OF
202,Lars Nootbaar*,26,STL,NL,1.5,109,405,348,39,85,18,3,12,45,7,3,52,79,0.244,0.342,0.417,0.758,111,0.334,112,145,10,1,1,3,2,OF
203,Jon Singleton*,32,HOU,AL,0.3,119,405,355,46,83,13,1,13,42,0,0,47,111,0.234,0.321,0.386,0.707,103,0.317,105,137,2,0,0,3,0,1B
204,Nolan Gorman*,24,STL,NL,0.3,107,402,365,42,74,15,0,19,50,6,1,34,151,0.203,0.271,0.4,0.671,85,0.291,79,146,2,1,0,2,1,2B
205,LaMonte Wade Jr.*,30,SFG,NL,2.1,117,401,331,45,86,16,0,8,34,2,1,62,90,0.26,0.38,0.381,0.761,121,0.337,122,126,2,4,1,3,5,1B
206,Seth Brown*,31,OAK,AL,-0.6,124,400,372,32,86,11,1,14,44,4,2,25,112,0.231,0.283,0.379,0.662,91,0.291,90,141,7,2,0,1,0,OF
207,Trevor Larnach*,27,MIN,AL,1.3,112,400,355,59,92,17,0,15,52,4,1,40,89,0.259,0.338,0.434,0.771,116,0.341,117,154,12,3,0,2,1,OF
208,Max Kepler*,31,MIN,AL,1,105,399,368,43,93,21,1,8,42,1,0,22,80,0.253,0.302,0.38,0.682,91,0.315,98,140,3,5,0,3,0,OF
209,Ke'Bryan Hayes,27,PIT,NL,0.8,96,396,365,38,85,9,0,4,25,11,2,23,75,0.233,0.283,0.29,0.573,61,0.267,60,106,12,4,0,4,1,3B
210,Korey Lee,25,CHW,AL,0.1,125,394,377,36,79,14,1,12,37,6,3,17,122,0.21,0.244,0.347,0.591,68,0.264,68,131,12,0,0,0,0,C
211,Kiké Hernández,32,LAD,NL,1.3,126,393,362,44,83,16,0,12,42,0,0,27,77,0.229,0.281,0.373,0.654,85,0.294,88,135,13,0,1,3,0,UTIL
212,David Fry,28,CLE,AL,1.4,122,392,335,44,88,18,1,14,51,4,1,42,84,0.263,0.356,0.448,0.804,128,0.352,128,150,13,9,0,4,4,UTIL
213,Santiago Espinal,29,CIN,NL,-0.4,118,391,357,32,88,12,0,9,45,11,1,24,54,0.246,0.295,0.356,0.65,77,0.294,73,127,7,2,4,4,1,UTIL
214,Bo Naylor*,24,CLE,AL,0.7,123,389,354,39,71,10,2,13,39,6,3,29,122,0.201,0.264,0.35,0.614,73,0.272,71,124,3,2,2,2,1,C
215,Will Benson*,26,CIN,NL,-1.4,128,388,343,41,64,19,2,14,43,16,7,40,154,0.187,0.274,0.376,0.65,76,0.285,70,129,3,2,1,2,0,OF
216,Byron Buxton,30,MIN,AL,3.6,102,388,355,62,99,27,3,18,56,7,2,20,99,0.279,0.335,0.524,0.859,137,0.369,136,186,3,11,0,2,1,OF
217,Geraldo Perdomo#,24,ARI,NL,3.5,98,388,337,61,92,21,2,3,37,9,1,36,58,0.273,0.344,0.374,0.718,101,0.328,104,126,5,3,7,5,0,SS
218,Nick Gonzales,25,PIT,NL,0.9,94,387,359,42,97,19,3,7,49,5,3,18,74,0.27,0.311,0.398,0.709,96,0.316,98,143,8,5,1,4,1,2B
219,Josh Lowe*,26,TBR,AL,0.7,106,387,353,37,85,19,2,10,34,25,1,32,123,0.241,0.302,0.391,0.693,98,0.315,93,138,2,0,0,2,4,OF
220,Alejandro Kirk,25,TOR,AL,2,103,386,340,23,86,19,1,5,54,0,0,35,51,0.253,0.319,0.359,0.677,94,0.303,94,122,11,2,0,9,1,C
221,Tyler Freeman,25,CLE,AL,0.9,118,383,330,48,69,14,1,7,32,11,6,28,53,0.209,0.305,0.321,0.626,79,0.288,83,106,15,19,3,3,1,UTIL
222,Jake Fraley*,29,CIN,NL,0.3,116,382,350,44,97,19,2,5,26,20,5,26,70,0.277,0.33,0.386,0.716,95,0.319,92,135,6,3,0,3,0,OF
223,Thairo Estrada,28,SFG,NL,-0.5,96,381,364,43,79,15,2,9,47,2,2,10,76,0.217,0.247,0.343,0.59,68,0.263,69,125,8,5,0,2,0,2B
224,Spencer Horwitz*,26,TOR,AL,1.2,97,381,328,46,87,19,0,12,40,0,0,42,70,0.265,0.357,0.433,0.79,125,0.346,125,142,8,7,0,4,2,1B
225,Spencer Torkelson,24,DET,AL,0.3,92,381,342,45,75,21,1,10,37,0,0,33,105,0.219,0.295,0.374,0.669,89,0.293,86,128,6,4,0,1,0,1B
226,Anthony Rizzo*,34,NYY,AL,0.2,92,375,337,38,77,12,0,8,35,0,0,27,65,0.228,0.301,0.335,0.637,81,0.297,88,113,7,9,0,2,0,1B
227,Starling Marte,35,NYM,NL,0.7,94,370,335,46,90,13,3,7,40,16,1,27,81,0.269,0.327,0.388,0.715,104,0.328,107,130,8,3,3,2,1,OF
228,Lenyn Sosa,24,CHW,AL,-0.4,100,369,351,28,89,13,0,8,35,3,1,12,77,0.254,0.283,0.359,0.642,84,0.282,79,126,5,3,2,1,1,3B
229,Freddy Fermin,29,KCR,AL,3,111,368,339,40,92,14,0,6,36,2,0,23,66,0.271,0.319,0.366,0.685,93,0.307,92,124,10,2,1,3,1,C
230,Carlos Correa,29,MIN,AL,3.7,86,367,319,55,99,20,2,14,54,0,0,40,61,0.31,0.388,0.517,0.905,152,0.393,155,165,5,3,0,4,4,SS
231,Abraham Toro#,27,OAK,AL,0.6,94,364,337,34,81,17,1,6,26,4,2,20,62,0.24,0.293,0.35,0.643,87,0.285,85,118,4,5,2,0,1,UTIL
232,Miguel Amaya,25,CHC,NL,1.9,117,363,328,32,76,13,2,8,47,0,0,23,62,0.232,0.288,0.357,0.644,82,0.292,84,117,5,4,5,3,0,C
233,Johan Rojas,23,PHI,NL,0.7,120,363,338,47,82,12,3,3,32,25,4,13,69,0.243,0.279,0.322,0.601,69,0.277,63,109,7,4,8,0,0,OF
234,Jonny DeLuca,25,TBR,AL,0.6,107,362,332,29,72,12,4,6,31,16,6,24,77,0.217,0.278,0.331,0.609,75,0.279,76,110,1,4,2,0,1,OF
235,Brandon Drury,31,LAA,AL,-2,97,360,325,28,55,7,0,4,15,1,0,27,81,0.169,0.242,0.228,0.469,35,0.228,38,74,13,5,0,3,0,UTIL
236,Willson Contreras,32,STL,NL,3,84,358,301,48,79,17,0,15,36,4,1,45,96,0.262,0.38,0.468,0.848,136,0.37,137,141,7,12,0,0,2,C
237,Michael Massey*,26,KCR,AL,1.6,100,356,332,45,86,17,2,14,45,1,0,15,56,0.259,0.294,0.449,0.743,105,0.328,108,149,9,3,2,4,1,2B
238,Will Brennan*,26,CLE,AL,-0.2,114,353,330,37,87,13,2,8,30,4,2,19,48,0.264,0.309,0.388,0.697,97,0.307,96,128,9,3,0,1,2,OF
239,Gabriel Moreno,24,ARI,NL,2.6,97,351,305,39,81,18,1,5,45,3,1,41,52,0.266,0.353,0.38,0.734,105,0.327,105,116,10,2,0,3,1,C
240,Elias Díaz,33,2TM,NL,1.3,96,351,325,27,86,20,0,6,39,0,0,20,69,0.265,0.313,0.382,0.695,88,0.309,87,124,15,4,0,2,2,C
241,Mike Tauchman*,33,CHC,NL,0.6,109,350,298,50,74,12,1,7,29,6,2,47,70,0.248,0.357,0.366,0.723,106,0.326,108,109,7,4,0,1,0,OF
242,Eloy Jiménez,27,2TM,AL,-0.7,98,349,324,25,77,14,0,6,23,3,0,22,70,0.238,0.289,0.336,0.626,81,0.282,80,109,13,2,0,1,1,DH
243,Jake Bauers*,28,MIL,NL,-0.4,116,346,302,45,60,9,2,12,43,13,1,39,118,0.199,0.301,0.361,0.662,83,0.3,80,109,0,5,0,0,1,OF
244,Jake Cave*,31,COL,NL,-0.7,123,346,323,42,81,16,5,7,37,5,2,18,98,0.251,0.29,0.396,0.686,84,0.297,77,128,6,1,1,3,1,OF
245,Amed Rosario,28,3TM,2LG,-0.1,103,346,332,29,93,18,3,3,32,13,5,9,73,0.28,0.306,0.38,0.686,94,0.312,98,126,10,4,0,1,0,UTIL
246,Tyrone Taylor,30,NYM,NL,2,130,345,319,47,79,22,3,7,35,11,2,19,80,0.248,0.299,0.401,0.701,99,0.317,102,128,4,5,1,1,1,UTIL
247,Manuel Margot,29,MIN,AL,-0.9,129,343,315,37,75,17,1,4,31,5,0,21,54,0.238,0.289,0.337,0.626,76,0.281,72,106,10,3,1,3,0,UTIL
248,Francisco Alvarez,22,NYM,NL,0.8,100,342,308,39,73,14,2,11,47,1,1,30,86,0.237,0.307,0.403,0.71,101,0.319,107,124,7,2,0,2,0,C
249,Travis d'Arnaud,35,ATL,NL,1.1,99,341,307,40,73,16,0,15,48,1,0,24,89,0.238,0.302,0.436,0.739,103,0.32,101,134,8,6,0,4,0,C
250,Tyler Fitzgerald,26,SFG,NL,2.8,96,341,314,53,88,19,2,15,34,17,4,22,108,0.28,0.334,0.497,0.831,136,0.367,140,156,2,4,0,1,0,SS
251,TJ Friedl*,28,CIN,NL,0.5,85,341,297,35,67,5,1,13,55,9,1,26,52,0.226,0.31,0.38,0.69,88,0.313,88,113,1,12,2,4,0,OF
252,Kyle Tucker*,27,HOU,AL,4.7,78,339,277,56,80,13,0,23,49,11,0,56,54,0.289,0.408,0.585,0.993,181,0.426,179,162,5,1,0,2,3,OF
253,Jake Rogers,29,DET,AL,1,102,337,310,43,61,16,1,10,36,1,0,22,99,0.197,0.255,0.352,0.607,71,0.27,69,109,6,3,0,2,1,C
254,Miguel Rojas,35,LAD,NL,3.4,103,337,307,41,87,21,0,6,36,8,2,23,34,0.283,0.337,0.41,0.748,113,0.329,112,126,8,3,2,2,0,UTIL
255,Bo Bichette,26,TOR,AL,-0.3,81,336,311,29,70,16,1,4,31,5,1,20,64,0.225,0.277,0.322,0.598,71,0.269,68,100,12,3,0,2,1,SS
256,James Wood*,21,WSN,NL,1.1,79,336,295,43,78,13,4,9,41,14,8,39,97,0.264,0.354,0.427,0.781,122,0.343,124,126,1,2,0,0,1,OF
257,Nick Fortes,27,MIA,NL,0,110,335,308,28,70,16,0,4,29,0,1,11,41,0.227,0.259,0.318,0.577,56,0.249,44,98,6,4,7,5,0,C
258,Whit Merrifield,35,2TM,NL,0.3,95,335,293,44,65,9,3,4,15,17,3,35,52,0.222,0.311,0.314,0.625,76,0.307,87,92,7,3,4,0,0,UTIL
259,Michael Siani*,24,STL,NL,0.7,124,334,298,42,68,7,2,2,20,20,3,21,92,0.228,0.285,0.285,0.57,61,0.265,54,85,2,3,11,1,0,OF
260,Adam Duvall,35,ATL,NL,-1.4,104,330,303,29,55,10,0,11,30,0,0,21,99,0.182,0.245,0.323,0.569,57,0.262,59,98,6,5,0,1,0,OF
261,Ben Rortvedt*,26,TBR,AL,0.9,112,328,290,27,66,13,0,3,31,1,0,34,88,0.228,0.317,0.303,0.621,80,0.287,83,88,6,4,0,0,0,C
262,Oswaldo Cabrera#,25,NYY,AL,1.3,108,326,299,47,74,11,0,8,36,4,2,21,63,0.247,0.296,0.365,0.661,87,0.3,90,109,6,1,2,3,0,UTIL
263,Royce Lewis,25,MIN,AL,0.7,82,325,292,40,68,16,0,16,47,0,0,28,74,0.233,0.295,0.452,0.747,107,0.315,99,132,5,0,0,5,2,3B
264,Zach McKinstry*,29,DET,AL,0.8,118,325,297,32,64,14,5,4,23,16,0,24,69,0.215,0.277,0.337,0.614,74,0.288,74,100,3,2,0,2,0,UTIL
265,Danny Jansen,29,2TM,AL,0.7,92,324,278,35,57,13,0,9,24,0,0,40,61,0.205,0.309,0.349,0.658,87,0.302,91,97,4,3,0,3,0,C
266,Miguel Andujar,29,OAK,AL,0.4,75,319,302,31,86,14,1,4,30,3,2,13,42,0.285,0.32,0.377,0.697,103,0.308,103,114,10,3,0,1,0,OF
267,Eddie Rosario*,32,2TM,NL,-1.6,91,319,297,33,52,12,0,10,35,9,1,16,77,0.175,0.215,0.316,0.531,48,0.241,43,94,4,0,2,4,0,UTIL
268,David Hamilton*,26,BOS,AL,2.6,98,317,294,47,73,17,1,8,28,33,4,22,80,0.248,0.303,0.395,0.697,92,0.331,95,116,1,1,0,0,0,SS
269,Richie Palacios*,27,TBR,AL,1.8,92,316,264,46,59,8,1,5,21,19,1,45,67,0.223,0.346,0.318,0.664,94,0.318,96,84,5,5,0,1,2,UTIL
270,Christian Vázquez,33,MIN,AL,-0.2,93,315,294,29,65,10,0,7,27,3,1,11,65,0.221,0.248,0.327,0.575,60,0.262,60,96,11,1,5,4,0,C
271,Christian Yelich*,32,MIL,NL,2.2,73,315,270,44,85,12,3,11,42,21,1,40,58,0.315,0.406,0.504,0.909,151,0.404,151,136,3,2,1,1,3,OF
272,Kevin Pillar,35,2TM,AL,0.4,100,314,284,38,65,16,1,8,45,12,3,16,69,0.229,0.291,0.377,0.667,88,0.298,86,107,10,10,1,3,0,UTIL
273,Joey Meneses,32,WSN,NL,-0.5,76,313,281,19,65,11,0,3,42,2,0,21,63,0.231,0.291,0.302,0.593,70,0.28,76,85,9,5,0,6,1,1B
274,Carson Kelly,29,2TM,AL,0.5,91,313,281,32,67,9,1,9,37,0,0,25,55,0.238,0.313,0.374,0.687,96,0.305,95,105,6,6,0,1,0,C
275,Kevin Newman,30,ARI,NL,2.2,111,311,288,41,80,17,1,3,28,8,1,15,48,0.278,0.311,0.375,0.686,91,0.313,92,108,7,0,6,2,1,SS
276,Donovan Solano,36,SDP,NL,1,96,309,283,31,81,13,0,8,35,2,1,22,65,0.286,0.343,0.417,0.76,112,0.339,116,118,6,3,0,1,0,3B
277,Ramón Laureano,29,2TM,2LG,1.3,98,309,286,35,74,16,1,11,33,8,3,15,96,0.259,0.311,0.437,0.748,107,0.337,114,125,5,7,0,1,0,OF
278,Rob Refsnyder,33,BOS,AL,0.8,93,307,272,32,77,16,1,11,40,2,2,28,78,0.283,0.359,0.471,0.83,129,0.354,126,128,6,5,0,1,2,OF
279,Dominic Smith*,29,2TM,2LG,-0.1,93,307,275,33,64,22,0,6,34,1,1,28,76,0.233,0.313,0.378,0.691,91,0.308,91,104,7,4,0,0,0,1B
280,Luis Rengifo#,27,LAA,AL,1.9,78,304,283,41,85,13,1,6,30,24,7,16,44,0.3,0.347,0.417,0.763,116,0.344,116,118,6,4,1,0,0,3B
281,Xavier Edwards#,24,MIA,NL,2,70,303,265,39,87,12,5,1,26,31,4,33,52,0.328,0.397,0.423,0.82,124,0.383,128,112,0,0,1,4,1,SS
282,Ildemaro Vargas#,32,WSN,NL,-0.5,95,303,272,21,67,16,0,1,30,9,4,19,31,0.246,0.295,0.316,0.611,75,0.273,72,86,9,2,5,5,0,UTIL
283,Emmanuel Rivera,28,2TM,2LG,-0.4,123,302,265,24,63,9,2,5,29,2,0,26,69,0.238,0.312,0.343,0.656,82,0.295,80,91,7,5,1,5,0,3B
284,Edouard Julien*,25,MIN,AL,-0.2,94,301,266,36,53,9,0,8,21,6,0,33,102,0.199,0.292,0.323,0.616,74,0.288,76,86,2,2,0,0,0,2B
285,Ramón Urías,30,BAL,AL,1.5,100,301,272,39,69,9,2,11,37,1,1,23,55,0.254,0.322,0.423,0.745,117,0.326,117,115,0,5,0,1,0,3B
286,Michael A. Taylor,33,PIT,NL,0.9,113,300,269,35,52,9,1,5,21,12,1,23,105,0.193,0.253,0.29,0.543,52,0.255,47,78,3,0,4,4,0,OF
287,Luis Campusano,25,SDP,NL,-0.7,91,299,277,37,63,13,0,8,40,0,0,20,41,0.227,0.281,0.361,0.642,78,0.287,78,100,11,1,0,1,0,C
288,Parker Meadows*,24,DET,AL,2.2,82,298,270,39,66,12,6,9,28,9,4,25,76,0.244,0.31,0.433,0.743,109,0.324,108,117,0,1,1,1,0,OF
289,Nolan Jones*,26,COL,NL,-0.7,79,297,256,28,58,13,1,3,28,5,4,36,91,0.227,0.321,0.32,0.641,75,0.289,73,82,7,1,1,3,2,OF
290,Kerry Carpenter*,26,DET,AL,2.2,87,296,264,37,75,16,5,18,57,0,2,22,75,0.284,0.345,0.587,0.932,159,0.386,156,155,5,4,0,3,1,OF
291,Víctor Robles,27,2TM,2LG,3.1,91,295,254,44,78,20,0,4,28,34,2,21,53,0.307,0.381,0.433,0.814,140,0.384,143,110,2,11,6,3,0,OF
292,Adam Frazier*,32,KCR,AL,0.3,104,294,262,35,53,10,1,4,22,3,0,22,59,0.202,0.282,0.294,0.576,63,0.269,64,77,0,7,3,0,0,2B
293,Max Muncy*,33,LAD,NL,3,73,293,237,47,55,17,0,15,48,1,0,45,77,0.232,0.358,0.494,0.852,141,0.361,136,117,1,5,0,6,3,3B
294,Jose Iglesias,34,NYM,NL,3.1,85,291,270,39,91,16,1,4,26,6,2,12,39,0.337,0.381,0.448,0.83,137,0.361,136,121,4,8,0,1,1,2B
295,Javier Báez,31,DET,AL,-1.1,80,289,272,25,50,12,0,6,37,8,1,12,69,0.184,0.221,0.294,0.516,46,0.236,41,80,10,2,0,3,1,SS
296,Ezequiel Durán,25,TEX,AL,0,92,285,268,26,66,11,0,3,20,1,2,14,63,0.246,0.288,0.321,0.609,75,0.273,75,86,6,2,0,1,0,UTIL
297,Joey Bart,27,PIT,NL,2.2,80,282,253,38,67,11,0,13,45,0,0,22,73,0.265,0.337,0.462,0.799,120,0.349,121,117,8,6,0,1,0,C
298,Jacob Stallings,34,COL,NL,1.8,82,281,243,31,64,17,1,9,36,0,0,27,65,0.263,0.357,0.453,0.81,118,0.355,119,110,10,9,1,1,1,C
299,Kevin Kiermaier*,34,2TM,2LG,1,116,281,259,31,51,9,3,5,26,6,2,12,86,0.197,0.237,0.313,0.55,56,0.253,56,81,4,2,7,1,0,OF
300,Gary Sánchez,31,MIL,NL,0.2,89,280,245,30,54,7,1,11,37,0,0,27,76,0.22,0.307,0.392,0.699,93,0.312,94,96,9,5,0,3,0,DH
301,Randal Grichuk,32,ARI,NL,2.2,106,279,254,40,74,20,2,12,46,0,0,20,46,0.291,0.348,0.528,0.875,140,0.377,142,134,5,3,0,2,0,OF
302,Vidal Bruján#,26,MIA,NL,0.5,102,278,248,32,55,14,2,2,16,5,6,25,54,0.222,0.303,0.319,0.622,70,0.271,64,79,5,4,1,0,3,UTIL
303,Tyler Nevin,27,OAK,AL,-0.2,87,278,245,22,50,10,0,7,20,1,0,25,64,0.204,0.288,0.331,0.618,80,0.279,80,81,5,5,0,3,0,UTIL
304,Jack Suwinski*,25,PIT,NL,-1.7,88,277,247,29,45,8,0,9,26,9,1,27,79,0.182,0.264,0.324,0.588,63,0.277,66,80,3,1,1,1,2,OF
305,Nick Gordon*,28,MIA,NL,-1.7,95,275,260,29,59,11,1,8,32,5,5,11,67,0.227,0.258,0.369,0.627,68,0.263,58,96,5,1,0,3,0,UTIL
306,Victor Caratini#,30,HOU,AL,1.3,87,274,245,30,66,8,1,8,30,0,1,23,53,0.269,0.336,0.408,0.744,113,0.325,113,100,6,3,0,3,1,C
307,Edmundo Sosa,28,PHI,NL,2.3,90,274,249,39,64,12,4,7,31,7,1,13,66,0.257,0.313,0.422,0.734,104,0.33,107,105,5,8,1,2,0,SS
308,Jonah Bride,28,MIA,NL,0.8,71,272,232,30,64,10,0,11,39,0,1,30,55,0.276,0.357,0.461,0.818,121,0.355,122,107,9,3,0,7,1,1B
309,Brett Wisely*,25,SFG,NL,0.5,91,272,252,25,60,13,1,4,31,2,3,13,65,0.238,0.278,0.345,0.623,79,0.271,77,87,3,2,2,3,0,UTIL
